"","Reporter.Country.Code","Reporter.Countries","totalExport"
"1",231,"United States of America",26329073
"2",68,"France",13422551
"3",150,"Netherlands",12497668
"4",15,"Belgium-Luxembourg",8098263
"5",10,"Australia",7462389
"6",33,"Canada",6126992
"7",229,"United Kingdom",6042559
"8",21,"Brazil",5574992
"9",49,"Cuba",5160068
"10",106,"Italy",4582601
"11",54,"Denmark",4185632
"12",203,"Spain",3541033
"13",216,"Thailand",3358030
"14",131,"Malaysia",3117359
"15",156,"New Zealand",3073843
"16",9,"Argentina",3043067
"17",104,"Ireland",2998416
"18",44,"Colombia",2491172
"19",138,"Mexico",2471407
"20",101,"Indonesia",2257014
"21",100,"India",2156937
"22",228,"USSR",1972077
"23",223,"Turkey",1923215
"24",200,"Singapore",1594456
"25",96,"China, Hong Kong SAR",1528433
"26",97,"Hungary",1454263
"27",84,"Greece",1390472
"28",214,"China, Taiwan Province of",1310158
"29",27,"Bulgaria",1168288
"30",171,"Philippines",1062922
"31",211,"Switzerland",1042530
"32",248,"Yugoslav SFR",782247
"33",173,"Poland",757168
"34",89,"Guatemala",745722
"35",114,"Kenya",723496
"36",210,"Sweden",712435
"37",110,"Japan",683934
"38",59,"Egypt",633965
"39",105,"Israel",630649
"40",48,"Costa Rica",606505
"41",40,"Chile",597936
"42",95,"Honduras",555777
"43",117,"Republic of Korea",545766
"44",11,"Austria",519018
"45",38,"Sri Lanka",512143
"46",234,"Uruguay",492605
"47",181,"Zimbabwe",485447
"48",174,"Portugal",464032
"49",143,"Morocco",403060
"50",67,"Finland",394285
"51",32,"Cameroon",382382
"52",170,"Peru",370518
"53",159,"Nigeria",326349
"54",168,"Papua New Guinea",211475
"55",194,"Saudi Arabia",206311
"56",130,"Malawi",202712
"57",212,"Syrian Arab Republic",194101
"58",162,"Norway",193678
"59",169,"Paraguay",189404
"60",50,"Cyprus",174018
"61",236,"Venezuela (Bolivarian Republic of)",150362
"62",109,"Jamaica",147238
"63",66,"Fiji",142472
"64",166,"Panama",135221
"65",135,"Martinique",130445
"66",182,"Réunion",109231
"67",112,"Jordan",96722
"68",87,"Guadeloupe",92308
"69",195,"Senegal",89621
"70",220,"Trinidad and Tobago",78573
"71",16,"Bangladesh",68005
"72",23,"Belize",56189
"73",118,"Kuwait",53708
"74",14,"Barbados",42817
"75",221,"Oman",31479
"76",4,"Algeria",19109
"77",99,"Iceland",18010
"78",25,"Solomon Islands",16547
"79",151,"Netherlands Antilles (former)",14654
"80",128,"China, Macao SAR",12437
"81",12,"Bahamas",12121
"82",26,"Brunei Darussalam",10112
"83",64,"Faroe Islands",5687
"84",219,"Tonga",4311
"85",69,"French Guiana",2744
"86",35,"Cabo Verde",1045
"87",85,"Greenland",444
"88",83,"Kiribati",306
