"","Reporter.Countries","Partner.Countries"
"1","Algeria","Belgium-Luxembourg"
"2","Algeria","Cameroon"
"3","Algeria","Canada"
"4","Algeria","China, mainland"
"5","Algeria","Congo"
"6","Algeria","Côte d'Ivoire"
"7","Algeria","Czechoslovakia"
"8","Algeria","Denmark"
"9","Algeria","Finland"
"10","Algeria","France"
"11","Algeria","Indonesia"
"12","Algeria","Italy"
"13","Algeria","Kuwait"
"14","Algeria","Netherlands"
"15","Algeria","Norway"
"16","Algeria","Singapore"
"17","Algeria","Spain"
"18","Algeria","Sweden"
"19","Algeria","Switzerland"
"20","Algeria","Syrian Arab Republic"
"21","Algeria","Tunisia"
"22","Algeria","United States of America"
"23","Algeria","Yugoslav SFR"
"24","Argentina","Albania"
"25","Argentina","Algeria"
"26","Argentina","Angola"
"27","Argentina","Antigua and Barbuda"
"28","Argentina","Australia"
"29","Argentina","Austria"
"30","Argentina","Bahamas"
"31","Argentina","Bahrain"
"32","Argentina","Bangladesh"
"33","Argentina","Barbados"
"34","Argentina","Belgium-Luxembourg"
"35","Argentina","Belize"
"36","Argentina","Benin"
"37","Argentina","Bolivia (Plurinational State of)"
"38","Argentina","Botswana"
"39","Argentina","Brazil"
"40","Argentina","Bulgaria"
"41","Argentina","Cabo Verde"
"42","Argentina","Cameroon"
"43","Argentina","Canada"
"44","Argentina","Chile"
"45","Argentina","China, Hong Kong SAR"
"46","Argentina","China, mainland"
"47","Argentina","China, Taiwan Province of"
"48","Argentina","Colombia"
"49","Argentina","Congo"
"50","Argentina","Costa Rica"
"51","Argentina","Côte d'Ivoire"
"52","Argentina","Cuba"
"53","Argentina","Cyprus"
"54","Argentina","Czechoslovakia"
"55","Argentina","Democratic People's Republic of Korea"
"56","Argentina","Democratic Republic of the Congo"
"57","Argentina","Denmark"
"58","Argentina","Djibouti"
"59","Argentina","Dominica"
"60","Argentina","Dominican Republic"
"61","Argentina","Ecuador"
"62","Argentina","Egypt"
"63","Argentina","El Salvador"
"64","Argentina","Finland"
"65","Argentina","France"
"66","Argentina","Gabon"
"67","Argentina","Greece"
"68","Argentina","Grenada"
"69","Argentina","Guadeloupe"
"70","Argentina","Guatemala"
"71","Argentina","Haiti"
"72","Argentina","Honduras"
"73","Argentina","Hungary"
"74","Argentina","India"
"75","Argentina","Indonesia"
"76","Argentina","Iran (Islamic Republic of)"
"77","Argentina","Iraq"
"78","Argentina","Ireland"
"79","Argentina","Israel"
"80","Argentina","Italy"
"81","Argentina","Japan"
"82","Argentina","Jordan"
"83","Argentina","Kuwait"
"84","Argentina","Lebanon"
"85","Argentina","Liberia"
"86","Argentina","Libya"
"87","Argentina","Malaysia"
"88","Argentina","Malta"
"89","Argentina","Mauritius"
"90","Argentina","Mexico"
"91","Argentina","Mongolia"
"92","Argentina","Morocco"
"93","Argentina","Netherlands"
"94","Argentina","Netherlands Antilles (former)"
"95","Argentina","New Zealand"
"96","Argentina","Nicaragua"
"97","Argentina","Nigeria"
"98","Argentina","Norway"
"99","Argentina","Oman"
"100","Argentina","Pakistan"
"101","Argentina","Panama"
"102","Argentina","Paraguay"
"103","Argentina","Peru"
"104","Argentina","Philippines"
"105","Argentina","Poland"
"106","Argentina","Portugal"
"107","Argentina","Qatar"
"108","Argentina","Republic of Korea"
"109","Argentina","Romania"
"110","Argentina","Saint Vincent and the Grenadines"
