"","Reporter.Country.Code","Partner.Country.Code"
"1",3,231
"2",4,33
"3",4,231
"4",9,19
"5",9,21
"6",9,33
"7",9,40
"8",9,44
"9",9,58
"10",9,91
"11",9,169
"12",9,170
"13",9,231
"14",9,234
"15",9,236
"16",1,33
"17",1,231
"18",22,19
"19",22,44
"20",22,231
"21",22,236
"22",10,9
"23",10,19
"24",10,21
"25",10,33
"26",10,40
"27",10,44
"28",10,58
"29",10,169
"30",10,170
"31",10,231
"32",10,234
"33",10,236
"34",11,9
"35",11,19
"36",11,21
"37",11,33
"38",11,40
"39",11,44
"40",11,58
"41",11,91
"42",11,169
"43",11,170
"44",11,231
"45",11,234
"46",11,236
"47",52,21
"48",52,33
"49",52,231
"50",12,33
"51",12,231
"52",13,33
"53",13,231
"54",16,21
"55",16,33
"56",16,58
"57",16,231
"58",14,9
"59",14,21
"60",14,33
"61",14,40
"62",14,44
"63",14,91
"64",14,169
"65",14,231
"66",14,236
"67",57,33
"68",57,231
"69",255,9
"70",255,19
"71",255,21
"72",255,33
"73",255,40
"74",255,44
"75",255,58
"76",255,91
"77",255,169
"78",255,170
"79",255,231
"80",255,234
"81",255,236
"82",23,33
"83",23,40
"84",23,91
"85",23,231
"86",19,9
"87",19,21
"88",19,33
"89",19,40
"90",19,44
"91",19,58
"92",19,169
"93",19,170
"94",19,231
"95",19,234
"96",19,236
"97",80,33
"98",80,231
"99",21,9
"100",21,19
"101",21,33
"102",21,40
"103",21,44
"104",21,58
"105",21,91
"106",21,169
"107",21,170
"108",21,231
"109",21,234
"110",21,236
"111",27,21
"112",27,33
"113",27,40
"114",27,58
"115",27,170
"116",27,231
"117",27,236
"118",29,33
"119",29,231
"120",35,33
"121",32,33
"122",32,231
"123",32,234
"124",33,9
"125",33,19
"126",33,21
"127",33,40
"128",33,44
"129",33,58
"130",33,91
"131",33,169
"132",33,170
"133",33,231
"134",33,234
"135",33,236
"136",40,9
"137",40,19
"138",40,21
"139",40,33
"140",40,44
"141",40,58
"142",40,91
"143",40,169
"144",40,170
"145",40,231
"146",40,234
"147",40,236
"148",96,9
"149",96,19
"150",96,21
"151",96,33
"152",96,40
"153",96,44
"154",96,58
"155",96,91
"156",96,169
"157",96,170
"158",96,231
"159",96,234
"160",96,236
"161",128,33
"162",128,231
"163",41,9
"164",41,19
"165",41,21
"166",41,33
"167",41,40
"168",41,44
"169",41,58
"170",41,91
"171",41,169
"172",41,170
"173",41,231
"174",41,234
"175",41,236
"176",214,9
"177",214,19
"178",214,21
"179",214,33
"180",214,40
"181",214,44
"182",214,58
"183",214,91
"184",214,169
"185",214,170
"186",214,231
"187",214,234
"188",214,236
"189",44,9
"190",44,19
"191",44,21
"192",44,33
"193",44,40
"194",44,58
"195",44,91
"196",44,169
"197",44,170
"198",44,231
"199",44,234
"200",44,236
"201",48,9
"202",48,19
"203",48,21
"204",48,33
"205",48,40
"206",48,44
"207",48,58
"208",48,91
"209",48,170
"210",48,231
"211",48,234
"212",48,236
"213",107,9
"214",107,21
