reporter,totalexportvalue
Algeria,16583000.0
Argentina,2478099000.0
Australia,5519825000.0
Austria,476785000.0
Bahamas,11495000.0
Bangladesh,42661000.0
Barbados,34208000.0
Belgium-Luxembourg,7112956000.0
Belize,56189000.0
Brazil,5104568000.0
Brunei Darussalam,10112000.0
Bulgaria,1028061000.0
Cabo Verde,1029000.0
Cameroon,361931000.0
Canada,5492356000.0
Chile,541771000.0
"China, Hong Kong SAR",1015343000.0
"China, Macao SAR",7915000.0
"China, Taiwan Province of",1278273000.0
Colombia,2433472000.0
Costa Rica,593048000.0
Cuba,4349899000.0
Cyprus,129005000.0
Denmark,3752266000.0
Egypt,449412000.0
Faroe Islands,5687000.0
Fiji,133285000.0
Finland,371033000.0
France,12064885000.0
French Guiana,2637000.0
Greece,1241171000.0
Greenland,444000.0
Guadeloupe,91711000.0
Guatemala,677697000.0
Honduras,539587000.0
Hungary,1198354000.0
Iceland,17832000.0
India,1779825000.0
Indonesia,2151109000.0
Ireland,2747397000.0
Israel,618347000.0
Italy,4035782000.0
Jamaica,142080000.0
Japan,589618000.0
Jordan,30437000.0
Kenya,555395000.0
Kiribati,306000.0
Kuwait,6568000.0
Malawi,162357000.0
Malaysia,2627824000.0
Martinique,130076000.0
Mexico,2452097000.0
Morocco,375521000.0
Netherlands,11335180000.0
Netherlands Antilles (former),176000.0
New Zealand,2567558000.0
Nigeria,310824000.0
Norway,192063000.0
Oman,4246000.0
Panama,130243000.0
Papua New Guinea,208972000.0
Paraguay,187422000.0
Peru,362450000.0
Philippines,995705000.0
Poland,682009000.0
Portugal,409011000.0
Republic of Korea,500755000.0
Réunion,108242000.0
Singapore,1337815000.0
Solomon Islands,16546000.0
Spain,3127257000.0
Sri Lanka,335436000.0
Sweden,671908000.0
Switzerland,962474000.0
Syrian Arab Republic,117701000.0
Thailand,2733813000.0
Tonga,4301000.0
Trinidad and Tobago,70645000.0
Turkey,1333142000.0
United Kingdom,5164889000.0
United States of America,23668640000.0
Uruguay,446339000.0
USSR,1060509000.0
Venezuela (Bolivarian Republic of),117060000.0
Yugoslav SFR,678562000.0
Zimbabwe,313075000.0
